time,mean,energy_density,min,max
0.000000000000000000e+00,5.000000000000000000e-01,6.259237590968526332e-02,4.898487003894024805e-01,5.098404084661070090e-01
2.000000000000000000e+01,4.999999999999999445e-01,6.060844537420764788e-02,2.286584706951638735e-01,7.314900545952298661e-01
4.000000000000000000e+01,5.000000000000000000e-01,4.849345925677600588e-02,1.014725612742663902e-02,9.940761660692493118e-01
6.000000000000000000e+01,4.999999999999994449e-01,4.351689802992551870e-02,1.760903865631730653e-03,9.923908126791760598e-01
8.000000000000000000e+01,4.999999999999992784e-01,3.951370213947445753e-02,-2.806488328440492896e-03,1.002087457808248150e+00
1.000000000000000000e+02,4.999999999999992228e-01,3.675234769054599310e-02,-8.298157877149492379e-03,1.002309194939465353e+00
1.200000000000000000e+02,4.999999999999986677e-01,3.486296222172020898e-02,-9.590705165496482554e-03,1.005587242104610812e+00
1.400000000000000000e+02,4.999999999999980016e-01,3.332019929614919718e-02,-1.021170036217090848e-02,1.008313986118184902e+00
1.600000000000000000e+02,4.999999999999980016e-01,3.210158449962093735e-02,-1.108362289968178871e-02,1.010199910527465716e+00
1.800000000000000000e+02,4.999999999999981126e-01,3.112234656245494585e-02,-1.159671614787324834e-02,1.010501520410493015e+00
2.000000000000000000e+02,4.999999999999975575e-01,3.030904836901065352e-02,-1.173733880518923467e-02,1.011597253329966195e+00
2.200000000000000000e+02,4.999999999999976685e-01,2.961651589513566302e-02,-1.185480353562445854e-02,1.011339791023322832e+00
2.400000000000000000e+02,4.999999999999977240e-01,2.901408830753809259e-02,-1.189072591809203772e-02,1.011833602555842759e+00
2.600000000000000000e+02,4.999999999999974465e-01,2.848164785264225424e-02,-1.243102586911692953e-02,1.011983432416239115e+00
2.800000000000000000e+02,4.999999999999965583e-01,2.800159128428866481e-02,-1.264360368320827099e-02,1.011937777556129792e+00
3.000000000000000000e+02,4.999999999999958922e-01,2.756124962528291519e-02,-1.303963546327113754e-02,1.011981903873150568e+00
3.200000000000000000e+02,4.999999999999955591e-01,2.715049148420203146e-02,-1.302168439968673375e-02,1.011832546252525944e+00
3.400000000000000000e+02,4.999999999999956701e-01,2.676158318305098260e-02,-1.320700150677373008e-02,1.011847426537788142e+00
3.600000000000000000e+02,4.999999999999953926e-01,2.638871400240859477e-02,-1.293826611900300572e-02,1.012015647596605783e+00
3.800000000000000000e+02,4.999999999999952260e-01,2.602730117438727814e-02,-1.294414971350740795e-02,1.011841515383849810e+00
4.000000000000000000e+02,4.999999999999944489e-01,2.567399956688033030e-02,-1.312219289907735897e-02,1.011997557095712486e+00
