time,mean,energy_density,min,max
0.000000000000000000e+00,5.000000000000000000e-01,6.259567089593183475e-02,4.899672025303550837e-01,5.099661254005002364e-01
5.000000000000000000e+00,4.999999999999998335e-01,6.249850616699847983e-02,4.898593727975535383e-01,5.104393271761029638e-01
1.000000000000000000e+01,5.000000000000000000e-01,6.249393657946355346e-02,4.798550857653112733e-01,5.206601737072830138e-01
1.500000000000000000e+01,4.999999999999999445e-01,6.247307275353086026e-02,4.562508290416484869e-01,5.428098714225448873e-01
2.000000000000000000e+01,4.999999999999997780e-01,6.237410288210654130e-02,4.047374448174457795e-01,5.890960290059074067e-01
2.500000000000000000e+01,4.999999999999995559e-01,6.192272241964050239e-02,3.070126208391437128e-01,6.818732079600033913e-01
3.000000000000000000e+01,4.999999999999997780e-01,6.034076100205898463e-02,1.873953728828838539e-01,8.045362161058683403e-01
3.500000000000000000e+01,4.999999999999997224e-01,5.748879379765567399e-02,1.070601648007894480e-01,8.947050484570363560e-01
4.000000000000000000e+01,4.999999999999994449e-01,5.525682317633566487e-02,7.396147072272311884e-02,9.361718382147922179e-01
4.500000000000000000e+01,4.999999999999994449e-01,5.398432643775092493e-02,5.312927494647415316e-02,9.546440685807806581e-01
5.000000000000000000e+01,4.999999999999996669e-01,5.305699638466686296e-02,3.948991266720183746e-02,9.606542595015191699e-01
5.500000000000000000e+01,4.999999999999996669e-01,5.226743259032080868e-02,3.465101360289203625e-02,9.611334383738380227e-01
6.000000000000000000e+01,4.999999999999996669e-01,5.155770246683645530e-02,3.388052998150518219e-02,9.624916415164982419e-01
6.500000000000000000e+01,4.999999999999995004e-01,5.090354288484767731e-02,3.362337382216083748e-02,9.663215386062347090e-01
7.000000000000000000e+01,4.999999999999992228e-01,5.029261760792643615e-02,3.462734347271159696e-02,9.671142454047516601e-01
7.500000000000000000e+01,4.999999999999993339e-01,4.971625980851572535e-02,3.522610187959301919e-02,9.672155365741978983e-01
8.000000000000000000e+01,4.999999999999991118e-01,4.917712112444169725e-02,3.365055606895717144e-02,9.668273977148500453e-01
8.500000000000000000e+01,4.999999999999991118e-01,4.867339605415709619e-02,3.180245871208958741e-02,9.664804246873108795e-01
9.000000000000000000e+01,4.999999999999990008e-01,4.820213796902758641e-02,3.067201283090187358e-02,9.660698062628980676e-01
9.500000000000000000e+01,4.999999999999992228e-01,4.775494078323008762e-02,3.006359839990246918e-02,9.655087737713772267e-01
1.000000000000000000e+02,4.999999999999991118e-01,4.732566507115623655e-02,2.985202390742930367e-02,9.672281508351996404e-01
1.050000000000000000e+02,4.999999999999994449e-01,4.691273268283589759e-02,2.996594856508516536e-02,9.680138043488550892e-01
1.100000000000000000e+02,4.999999999999993339e-01,4.651700918021856035e-02,3.014095137738026509e-02,9.685910790551115479e-01
1.150000000000000000e+02,4.999999999999991118e-01,4.613983486267066170e-02,2.907780946257899207e-02,9.684980242783711724e-01
1.200000000000000000e+02,4.999999999999992784e-01,4.578049041750428816e-02,2.813100535642188565e-02,9.689350379754968490e-01
1.250000000000000000e+02,4.999999999999995559e-01,4.543857350711155707e-02,2.707747044104502274e-02,9.695175054576323781e-01
1.300000000000000000e+02,4.999999999999994449e-01,4.511496814444725806e-02,2.625318213561039782e-02,9.695928515892213717e-01
1.350000000000000000e+02,4.999999999999996114e-01,4.481283305956414859e-02,2.562727550418515687e-02,9.693263685388568973e-01
1.400000000000000000e+02,4.999999999999998890e-01,4.453220265970719849e-02,2.469095864089390635e-02,9.697396436008017817e-01
1.450000000000000000e+02,4.999999999999998890e-01,4.426796399475239202e-02,2.402331762431969553e-02,9.707527160210656092e-01
1.500000000000000000e+02,4.999999999999996669e-01,4.401469445738270814e-02,2.386923806277255200e-02,9.730155931051998053e-01
