time,portrait_energy,double_well_energy,max_channel_mean_drift,mean_R,mean_G,mean_B
0.000000000000000000e+00,7.193706083567208941e-03,1.711435537000027818e-01,0.000000000000000000e+00,2.563580159627931176e-01,2.349979575163421153e-01,9.989267141151307594e-02
2.500000000000000000e+00,1.135854583110893065e-04,1.446998899873201683e-01,5.273559366969493567e-15,2.563580159627946720e-01,2.349979575163368417e-01,9.989267141151353391e-02
5.000000000000000000e+00,5.664060586865099137e-05,1.348329396829188453e-01,4.357625371653739421e-15,2.563580159627955601e-01,2.349979575163377576e-01,9.989267141151356166e-02
7.500000000000000000e+00,3.766255420183417692e-05,1.244255027206561393e-01,5.467848396278895962e-15,2.563580159627908417e-01,2.349979575163366474e-01,9.989267141151388085e-02
1.000000000000000000e+01,2.816159883333319160e-05,1.160478622458248343e-01,4.413136522884997248e-15,2.563580159627938393e-01,2.349979575163377021e-01,9.989267141151245144e-02
1.250000000000000000e+01,2.244864393707664391e-05,1.095971195500106271e-01,3.552713678800500929e-15,2.563580159627901756e-01,2.349979575163385626e-01,9.989267141151239593e-02
1.500000000000000000e+01,1.862943387903007270e-05,1.044437633059632498e-01,4.718447854656915297e-15,2.563580159627898425e-01,2.349979575163373968e-01,9.989267141151193796e-02
1.750000000000000000e+01,1.589370190162794701e-05,1.002539569524368707e-01,5.329070518200751394e-15,2.563580159627907307e-01,2.349979575163367862e-01,9.989267141151225715e-02
2.000000000000000000e+01,1.383697480799184045e-05,9.681371707712360664e-02,5.578870698741411616e-15,2.563580159627916744e-01,2.349979575163365364e-01,9.989267141151156326e-02
2.250000000000000000e+01,1.223459959474046577e-05,9.394186285013833571e-02,3.858025010572418978e-15,2.563580159627942279e-01,2.349979575163382572e-01,9.989267141151096652e-02
2.500000000000000000e+01,1.095158620386384436e-05,9.151202389750859312e-02,6.217248937900876626e-15,2.563580159627923405e-01,2.349979575163358980e-01,9.989267141151139673e-02
2.750000000000000000e+01,9.901779691187566896e-06,8.938573255172840848e-02,7.049916206369744032e-15,2.563580159627915633e-01,2.349979575163350654e-01,9.989267141151106366e-02
3.000000000000000000e+01,9.027518164334097532e-06,8.751190110978787629e-02,6.550315845288423588e-15,2.563580159627932842e-01,2.349979575163355650e-01,9.989267141151052243e-02
3.250000000000000000e+01,8.288705354088699264e-06,8.586188814772628686e-02,6.716849298982197070e-15,2.563580159627885102e-01,2.349979575163353984e-01,9.989267141151109142e-02
3.500000000000000000e+01,7.656571498785948575e-06,8.436856827743471898e-02,5.828670879282071837e-15,2.563580159627891208e-01,2.349979575163362866e-01,9.989267141151070284e-02
3.750000000000000000e+01,7.109927132668056638e-06,8.300819700327929929e-02,7.549516567451064475e-15,2.563580159627881216e-01,2.349979575163345658e-01,9.989267141151061957e-02
4.000000000000000000e+01,6.632816885551873723e-06,8.176738984629169926e-02,6.994405055138486205e-15,2.563580159627911192e-01,2.349979575163351209e-01,9.989267141151127183e-02
