time,AC_mean,CH_mean,AC_energy,CH_energy
0.000000000000000000e+00,-9.802724800857878784e-04,-9.802724800857878784e-04,2.182782560712984432e-01,2.182782560712984432e-01
2.500000000000000000e+00,1.324415606027490311e-01,-9.802724800857878784e-04,6.792655807039987836e-02,2.107917220085670507e-01
5.000000000000000000e+00,1.869828580731421053e-01,-9.802724800857809395e-04,2.459211894284547145e-02,1.994720639848948374e-01
7.500000000000000000e+00,1.906315946665625982e-01,-9.802724800857740006e-04,2.006859379231386298e-02,1.834429239841980086e-01
1.000000000000000000e+01,1.908116351800317467e-01,-9.802724800857809395e-04,1.893768773847611525e-02,1.669466056071305937e-01
1.250000000000000000e+01,1.903303579070344809e-01,-9.802724800857809395e-04,1.811428214010369492e-02,1.552485716456323828e-01
1.500000000000000000e+01,1.896339526040171641e-01,-9.802724800857740006e-04,1.740793474912811709e-02,1.476170356600695899e-01
1.750000000000000000e+01,1.889041286176343371e-01,-9.802724800857809395e-04,1.681393278928992874e-02,1.420865802421676372e-01
2.000000000000000000e+01,1.880983393017933158e-01,-9.802724800857809395e-04,1.623087365700105755e-02,1.375638482986749900e-01
2.250000000000000000e+01,1.875633535588445144e-01,-9.802724800857948173e-04,1.575234684317715350e-02,1.337160442680790928e-01
2.500000000000000000e+01,1.870720763667629294e-01,-9.802724800857809395e-04,1.540831286159216086e-02,1.304079522348894904e-01
2.750000000000000000e+01,1.865217875791406743e-01,-9.802724800857809395e-04,1.515322867544709011e-02,1.274976336106339314e-01
3.000000000000000000e+01,1.859871788572169948e-01,-9.802724800857670617e-04,1.492035630865958667e-02,1.248634758986677806e-01
3.250000000000000000e+01,1.854552479165670897e-01,-9.802724800857809395e-04,1.469348750324950270e-02,1.223809485076629844e-01
3.500000000000000000e+01,1.849113535301997457e-01,-9.802724800857601228e-04,1.445030029675252632e-02,1.200687394712320055e-01
3.750000000000000000e+01,1.842385916570564719e-01,-9.802724800857601228e-04,1.425307618922621103e-02,1.179124204329858039e-01
4.000000000000000000e+01,1.836311327569983831e-01,-9.802724800857740006e-04,1.409480434058152723e-02,1.158957709124509849e-01
4.250000000000000000e+01,1.830937404244495359e-01,-9.802724800857809395e-04,1.397266614940672128e-02,1.140834801765448492e-01
4.500000000000000000e+01,1.825282420503777092e-01,-9.802724800858156340e-04,1.385461262315526923e-02,1.124455088982470874e-01
4.750000000000000000e+01,1.819494024332059534e-01,-9.802724800858017562e-04,1.374257289226976479e-02,1.109201113789108212e-01
5.000000000000000000e+01,1.813608457331182533e-01,-9.802724800858086951e-04,1.363728038424106073e-02,1.094418523274374028e-01
5.250000000000000000e+01,1.807756649956655803e-01,-9.802724800858156340e-04,1.353605849038270331e-02,1.080223267717640989e-01
5.500000000000000000e+01,1.802021079052649188e-01,-9.802724800858225729e-04,1.343956888846550846e-02,1.067176903148376321e-01
5.750000000000000000e+01,1.796289706871405101e-01,-9.802724800858156340e-04,1.335005558458005580e-02,1.055048932004737927e-01
6.000000000000000000e+01,1.790372568355363403e-01,-9.802724800858364507e-04,1.326432570104152733e-02,1.043425601247266188e-01
6.250000000000000000e+01,1.784235516231248708e-01,-9.802724800858017562e-04,1.317922475245942096e-02,1.032242571960276245e-01
6.500000000000000000e+01,1.777876616038338575e-01,-9.802724800858156340e-04,1.309855656340028901e-02,1.021066931992260646e-01
6.750000000000000000e+01,1.771589818277412853e-01,-9.802724800858017562e-04,1.301865231614754426e-02,1.010029196679451680e-01
7.000000000000000000e+01,1.765366335288769406e-01,-9.802724800858225729e-04,1.294023593558862525e-02,9.997570640136249631e-02
7.250000000000000000e+01,1.759227589313148432e-01,-9.802724800858364507e-04,1.286544057154647563e-02,9.906035292532430758e-02
7.500000000000000000e+01,1.753374725192453076e-01,-9.802724800858364507e-04,1.279354445680874405e-02,9.821533868440986137e-02
7.750000000000000000e+01,1.747695605852753464e-01,-9.802724800858225729e-04,1.272006247794467415e-02,9.739938003890447060e-02
8.000000000000000000e+01,1.741965947320466834e-01,-9.802724800858086951e-04,1.264700446402799300e-02,9.660037743712751590e-02
8.250000000000000000e+01,1.736165829183304310e-01,-9.802724800858225729e-04,1.257634761651603428e-02,9.581203883336725236e-02
8.500000000000000000e+01,1.730200672446278454e-01,-9.802724800858156340e-04,1.250582028150255126e-02,9.502733423095541254e-02
8.750000000000000000e+01,1.724145781030753111e-01,-9.802724800858156340e-04,1.243524838521660805e-02,9.424312891715125318e-02
9.000000000000000000e+01,1.718027519663783975e-01,-9.802724800858017562e-04,1.236584846732376522e-02,9.348799742773059029e-02
9.250000000000000000e+01,1.711752585894026346e-01,-9.802724800857948173e-04,1.229741038074048769e-02,9.275701008869817465e-02
9.500000000000000000e+01,1.705470936406942584e-01,-9.802724800858086951e-04,1.223014523907892462e-02,9.204352948330221662e-02
9.750000000000000000e+01,1.699339956879142022e-01,-9.802724800858017562e-04,1.216341805974553020e-02,9.133298413749763034e-02
1.000000000000000000e+02,1.693233197797024414e-01,-9.802724800858017562e-04,1.209418474471074360e-02,9.063268099489354968e-02
1.025000000000000000e+02,1.687097310695938046e-01,-9.802724800857878784e-04,1.202491516438491254e-02,8.997224816549567739e-02
