time,AC_mean,CH_mean,AC_energy_per_area,CH_energy_per_area
0.000000000000000000e+00,2.260154574525122528e-01,2.260154574525122528e-01,1.653984598396650296e-01,1.653984598396650574e-01
1.000000000000000056e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.644090403074804363e-01,1.653276028290771860e-01
1.085098408702918210e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.643251160485270923e-01,1.653215768309482525e-01
1.177438556569605221e-01,2.260154574525122251e-01,2.260154574525122528e-01,1.642340984315112107e-01,1.653150387075397187e-01
1.277636704079139485e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.641353923904471102e-01,1.653079449979296955e-01
1.386361554496715331e-01,2.260154574525122528e-01,2.260154574525122251e-01,1.640283537316142570e-01,1.653002485640273633e-01
1.504338716671289877e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.639122852186255808e-01,1.652918982814205739e-01
1.632355547610206681e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.637864323708275172e-01,1.652828387045819081e-01
1.771266407149215960e-01,2.260154574525122528e-01,2.260154574525122251e-01,1.636499789587001485e-01,1.652730097043688118e-01
1.921998359786549204e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.635020421799171508e-01,1.652623460755976437e-01
2.085557361734003412e-01,2.260154574525122528e-01,2.260154574525122806e-01,1.633416674999438323e-01,1.652507771123087332e-01
2.263034974476223482e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.631678231415610858e-01,1.652382261481636361e-01
2.455615649643199117e-01,2.260154574525122528e-01,2.260154574525122806e-01,1.629793942085626668e-01,1.652246100592326683e-01
2.664584633813817383e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.627751764301700876e-01,1.652098387262360690e-01
2.891336546005621178e-01,2.260154574525122806e-01,2.260154574525122251e-01,1.625538695145280210e-01,1.651938144530998021e-01
3.137384685095290782e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.623140701021024979e-01,1.651764313384730398e-01
3.404371129285806430e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.620542643130202520e-01,1.651575745966334385e-01
3.694077695022184860e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.617728198865174272e-01,1.651371198239775795e-01
4.008437828493516819e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.614679779158713635e-01,1.651149322070569192e-01
4.349549509082895615e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.611378441886736068e-01,1.650908656678805875e-01
4.719689250880408915e-01,2.260154574525122251e-01,2.260154574525122528e-01,1.607803801502848406e-01,1.650647619419619849e-01
5.121327295702600146e-01,2.260154574525122251e-01,2.260154574525122528e-01,1.603933935180498760e-01,1.650364495843428259e-01
5.557144099013709981e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.599745285856388755e-01,1.650057428985892138e-01
6.030048218772589008e-01,2.260154574525122528e-01,2.260154574525122251e-01,1.595212562710330295e-01,1.649724407835221618e-01
6.543195726592002659e-01,2.260154574525122251e-01,2.260154574525122528e-01,1.590308639785737999e-01,1.649363254922261990e-01
7.100011270756714232e-01,2.260154574525122251e-01,2.260154574525122528e-01,1.585004453655270151e-01,1.648971612976820877e-01
7.704210931670893991e-01,2.260154574525122528e-01,2.260154574525122251e-01,1.579268901272422032e-01,1.648546930591982818e-01
8.359827022267714014e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.573068739426803087e-01,1.648086446836834473e-01
9.071234998894351920e-01,2.260154574525122528e-01,2.260154574525122806e-01,1.566368487543662591e-01,1.647587174757191852e-01
9.843182662270478778e-01,2.260154574525122528e-01,2.260154574525122528e-01,1.559130335942346401e-01,1.647045883703715519e-01
1.068082184340184870e+00,2.260154574525122528e-01,2.260154574525122251e-01,1.551314062099365121e-01,1.646459080427413735e-01
