time,intended_target_energy,wrong_target_energy
0.000000000000000000e+00,5.215220907341275303e-02,7.519773737172094630e-02
1.000000000000000056e-01,5.184023268406891954e-02,7.474790180370055603e-02
1.103538486642736266e-01,5.180803792985680389e-02,7.470148051656809451e-02
1.217797191501740761e-01,5.177253298560330341e-02,7.465028630023845535e-02
1.343886069747605438e-01,5.173338015403192852e-02,7.459383223245930061e-02
1.483029999629527362e-01,5.169020786310193905e-02,7.453158254730177235e-02
1.636580681436946572e-01,5.164260739376157205e-02,7.446294791694146875e-02
1.806029768461665519e-01,5.159012931932067947e-02,7.438728031762606441e-02
1.993023357519917993e-01,5.153227963729971328e-02,7.430386745222805622e-02
2.199377979801155625e-01,5.146851557487333584e-02,7.421192670215659426e-02
2.427098247385125751e-01,5.139824104977373104e-02,7.411059858248053578e-02
2.678396326852619524e-01,5.132080176988880471e-02,7.399893967608894840e-02
2.955713429164402717e-01,5.123547995695669488e-02,7.387591502584035796e-02
3.261743524569697406e-01,5.114148868292428540e-02,7.374038996821578873e-02
3.599459512920388793e-01,5.103796581195366167e-02,7.359112139835988220e-02
3.972142103619966669e-01,5.092396754702323280e-02,7.342674846499086527e-02
4.383411685758673570e-01,5.079846158793505095e-02,7.324578270500141375e-02
4.837263498034212184e-01,5.066031991772607102e-02,7.304659764225858443e-02
5.338106440112823092e-01,5.050831124748073747e-02,7.282741789385631381e-02
5.890805902459950172e-01,5.034109316593243788e-02,7.258630785070604996e-02
6.500731030706751179e-01,5.015720406068381598e-02,7.232116002882679751e-02
7.173806883697604331e-01,4.995505490313258828e-02,7.202968322411359980e-02
7.916571991902896510e-01,4.973292102011605403e-02,7.170939064795592288e-02
8.736241875342795060e-01,4.948893401284158722e-02,7.135758827522593883e-02
9.640779138060688869e-01,4.922107402888967892e-02,7.097136370135878614e-02
1.063897082007235317e+00,4.892716264707509116e-02,7.054757588310660299e-02
1.174051375821887566e+00,4.860485669886821514e-02,7.008284622970903377e-02
1.295610878515308428e+00,4.825164342503553139e-02,6.957355161930267595e-02
1.429756468154649518e+00,4.786483745316592875e-02,6.901582004084701183e-02
1.577791289135045627e+00,4.744158018159402163e-02,6.840552970580997261e-02
1.741153411450180100e+00,4.697884226830031928e-02,6.773831263688741278e-02
1.921429800684569367e+00,4.647343004942001282e-02,6.700956392278556439e-02
2.120371734437704436e+00,4.592199684985506791e-02,6.621445802687687954e-02
2.339911814941418200e+00,4.532106029565047267e-02,6.534797374973855266e-02
2.582182743137911185e+00,4.466702688992461867e-02,6.440492966493528704e-02
2.849538036597400126e+00,4.395622526443282441e-02,6.338003206410915136e-02
3.144574892537609134e+00,4.318494965728213175e-02,6.226793764705212952e-02
3.470159418045698274e+00,4.234951527981648672e-02,6.106333335465226331e-02
3.829454472599188364e+00,4.144632730313600050e-02,5.976103583985072770e-02
4.225950393359366508e+00,4.047196519195662284e-02,5.835611306777249707e-02
4.663498901715071199e+00,3.942328400848781056e-02,5.684403038475235870e-02
5.146350520458712552e+00,3.829753406204622346e-02,5.522082303989032243e-02
