time,AC_mean,CH_mean,AC_mse,CH_mse,AC_energy,CH_energy
0.000000000000000000e+00,1.898225672104779382e-01,1.898225672104779382e-01,4.152128988850441460e-01,4.152128988850441460e-01,8.509242328906349684e+00,8.509242328906349684e+00
2.000000000000000042e-02,1.899238137166847640e-01,1.898225672104779105e-01,3.839163030171135471e-01,2.598939042689936696e-01,7.883278002540375695e+00,5.394208999456173714e+00
4.000000000000000083e-02,1.900254100658568257e-01,1.898225672104779105e-01,3.549874542169713099e-01,2.068921724007113938e-01,7.304824679507720298e+00,4.343440963128061938e+00
5.999999999999999778e-02,1.901268519929682765e-01,1.898225672104778827e-01,3.282438350042927722e-01,1.755646163408440819e-01,6.770154455467096710e+00,3.720744096991423167e+00
8.000000000000000167e-02,1.902276998978849054e-01,1.898225672104779105e-01,3.035176738408153496e-01,1.540806945520841464e-01,6.275853625924080248e+00,3.292672628073837870e+00
1.000000000000000056e-01,1.903275722520925972e-01,1.898225672104779105e-01,2.806546386656471048e-01,1.381049679687849641e-01,5.818792691067149470e+00,2.973650212485319244e+00
1.199999999999999956e-01,1.904261396688553543e-01,1.898225672104779105e-01,2.595126640397906748e-01,1.255960238190255707e-01,5.396099746439666944e+00,2.723356101506825944e+00
1.400000000000000133e-01,1.905231195630731622e-01,1.898225672104779105e-01,2.399608956999471077e-01,1.154488629753936541e-01,5.005136806323885246e+00,2.519947811390947479e+00
1.600000000000000033e-01,1.906182713366330606e-01,1.898225672104779105e-01,2.218787386169373821e-01,1.070043596508285372e-01,4.643478676429197094e+00,2.350385312096334722e+00
1.799999999999999933e-01,1.907113920331602319e-01,1.898225672104779105e-01,2.051549965819209342e-01,9.983976865733829031e-02,4.308894050252056296e+00,2.206297771001605401e+00
2.000000000000000111e-01,1.908023124130043269e-01,1.898225672104779105e-01,1.896870929687556051e-01,9.366840347151039747e-02,3.999328551544131916e+00,2.082003477008008030e+00
2.200000000000000011e-01,1.908908934052389594e-01,1.898225672104779105e-01,1.753803636956911549e-01,8.828715747586024509e-02,3.712889485470488804e+00,1.973473626409946835e+00
2.399999999999999911e-01,1.909770228985593343e-01,1.898225672104779105e-01,1.621474145766322872e-01,8.354702973746427896e-02,3.447832094688527693e+00,1.877750090080908763e+00
2.600000000000000089e-01,1.910606128373686929e-01,1.898225672104779105e-01,1.499075362461247396e-01,7.933557790958886691e-02,3.202547144880473429e+00,1.792598631610904381e+00
2.800000000000000266e-01,1.911415965931571315e-01,1.898225672104779105e-01,1.385861706913925073e-01,7.556595407680942456e-02,2.975549688156671202e+00,1.716292121696463502e+00
2.999999999999999889e-01,1.912199265845853924e-01,1.898225672104779105e-01,1.281144241525260519e-01,7.216976973355759828e-02,2.765468872968346759e+00,1.647469395265791059e+00
3.200000000000000067e-01,1.912955721225660377e-01,1.898225672104779105e-01,1.184286217775378791e-01,6.909228936766147189e-02,2.571038686342125956e+00,1.585040126773188840e+00
3.599999999999999867e-01,1.914387600212373863e-01,1.898225672104779105e-01,1.011838327405658183e-01,6.372371159034811994e-02,2.224540535451015710e+00,1.475977600192472039e+00
3.800000000000000044e-01,1.915063088120420032e-01,1.898225672104779105e-01,9.352008910302284095e-02,6.136587659072137435e-02,2.070392565266833795e+00,1.428012255724238511e+00
4.199999999999999845e-01,1.916334104362140134e-01,1.898225672104779382e-01,7.987686042208655413e-02,5.717547179595314222e-02,1.795673849648259379e+00,1.342662573637400492e+00
4.400000000000000022e-01,1.916930268230709888e-01,1.898225672104779105e-01,7.381448079353673808e-02,5.530335787520370555e-02,1.673458437173981794e+00,1.304486995213623324e+00
4.799999999999999822e-01,1.918046006438793583e-01,1.898225672104779382e-01,6.302369193093723676e-02,5.192716833300840135e-02,1.455655241135970002e+00,1.235569012691142499e+00
5.200000000000000178e-01,1.919063040368220452e-01,1.898225672104779105e-01,5.379673770576798297e-02,4.896135607356484620e-02,1.269093845965216572e+00,1.174950229818704894e+00
5.600000000000000533e-01,1.919986006876673312e-01,1.898225672104779105e-01,4.590840257944323044e-02,4.633027829535821956e-02,1.109304436502717151e+00,1.121111149448512645e+00
5.999999999999999778e-01,1.920819969649468217e-01,1.898225672104779105e-01,3.916580861651931811e-02,4.397588886731214342e-02,9.724570116545981913e-01,1.072883975541063517e+00
6.600000000000000311e-01,1.921915702288997108e-01,1.898225672104779105e-01,3.084539375162560770e-02,4.086679508908575009e-02,8.031515384669327684e-01,1.009125010616084062e+00
7.199999999999999734e-01,1.922841509011843086e-01,1.898225672104779382e-01,2.427564044196649229e-02,3.816552763288554723e-02,6.690174555252065280e-01,9.536626582823003462e-01
7.600000000000000089e-01,1.923373316652037257e-01,1.898225672104779660e-01,2.068460378861189733e-02,3.654926021296746319e-02,5.954737049639593494e-01,9.204480362021510986e-01
8.200000000000000622e-01,1.924056020716899407e-01,1.898225672104779660e-01,1.625859630637543213e-02,3.435411616071805396e-02,5.045352275741803449e-01,8.753024735935545086e-01
9.000000000000000222e-01,1.924777575471353086e-01,1.898225672104779660e-01,1.177919860101227234e-02,3.177964685482830703e-02,4.120397406115520189e-01,8.223052966994829349e-01
9.599999999999999645e-01,1.925197293391442410e-01,1.898225672104779660e-01,9.240739048352965279e-03,3.006457753516760326e-02,3.593229517839777176e-01,7.869699659865118102e-01
1.040000000000000036e+00,1.925621553681872156e-01,1.898225672104779660e-01,6.676588910164304828e-03,2.801202054444410644e-02,3.057361512749108834e-01,7.446513949919847386e-01
1.140000000000000124e+00,1.925974963340487678e-01,1.898225672104779660e-01,4.437182396214507836e-03,2.575323020783795713e-02,2.584968627119181850e-01,6.980444920790899177e-01
1.219999999999999973e+00,1.926146393585586314e-01,1.898225672104779660e-01,3.194079743105014864e-03,2.414611328317508437e-02,2.319766735529889823e-01,6.648619170318104121e-01
1.320000000000000062e+00,1.926255294732880652e-01,1.898225672104779660e-01,2.113368680414930145e-03,2.234126395641022542e-02,2.086149703210809780e-01,6.275761481440969014e-01
1.419999999999999929e+00,1.926277347076578716e-01,1.898225672104779660e-01,1.395898614069583177e-03,2.072490518262989911e-02,1.928248688334850969e-01,5.941669272989213990e-01
1.540000000000000036e+00,1.926225026942255947e-01,1.898225672104779660e-01,8.484303941635545042e-04,1.899045574416863627e-02,1.804794514463990140e-01,5.582995213765996612e-01
1.660000000000000142e+00,1.926118050894534695e-01,1.898225672104779660e-01,5.180865056344072413e-04,1.744189136403479640e-02,1.727692790642884058e-01,5.262614134917175113e-01
1.800000000000000044e+00,1.925955894472330121e-01,1.898225672104779660e-01,2.970576320211712777e-04,1.583004841774045268e-02,1.673511185959521974e-01,4.928991471147656234e-01
1.939999999999999947e+00,1.925777878053538950e-01,1.898225672104779660e-01,1.785790794474255254e-04,1.439398617052806834e-02,1.642242929332315415e-01,4.631611720643415420e-01
2.100000000000000089e+00,1.925575703603667199e-01,1.898225672104779660e-01,1.113115382384604528e-04,1.293355978210192214e-02,1.622341541393942654e-01,4.329026259290856271e-01
2.280000000000000249e+00,1.925365927655005027e-01,1.898225672104779660e-01,7.964374006847585842e-05,1.148504574919155530e-02,1.610810318008656650e-01,4.028706834603061337e-01
2.459999999999999964e+00,1.925183323822909909e-01,1.898225672104779660e-01,6.946158568351846617e-05,1.021089349764115611e-02,1.605125088784955523e-01,3.764317518706918886e-01
2.660000000000000142e+00,1.925014885471595383e-01,1.898225672104779660e-01,6.839030922904947192e-05,8.968954162036362962e-03,1.602116039937912795e-01,3.506343968170946290e-01
2.879999999999999893e+00,1.924868900996141718e-01,1.898225672104779660e-01,7.128949333830873682e-05,7.782813574864442911e-03,1.600657631672960102e-01,3.259623710182036893e-01
3.100000000000000089e+00,1.924758209553331101e-01,1.898225672104779660e-01,7.483337655517040667e-05,6.757316234214329545e-03,1.600042985197146495e-01,3.045956151710227378e-01
3.359999999999999876e+00,1.924663572194670325e-01,1.898225672104779660e-01,7.829789191031571722e-05,5.720777109490229190e-03,1.599756445306898256e-01,2.829521951450740813e-01
3.620000000000000107e+00,1.924598362273640118e-01,1.898225672104780215e-01,8.072105925057150556e-05,4.844733590204315481e-03,1.599653184911364878e-01,2.646102378647899322e-01
3.919999999999999929e+00,1.924548795072816010e-01,1.898225672104780215e-01,8.248391408153472383e-05,4.000154702571694088e-03,1.599612912477635651e-01,2.468675009732534120e-01
4.240000000000000213e+00,1.924516079148291259e-01,1.898225672104780215e-01,8.356170166709064959e-05,3.261405460910116703e-03,1.599600081153796927e-01,2.312814512999574468e-01
4.580000000000000071e+00,1.924495541776546359e-01,1.898225672104780215e-01,8.417865519402082937e-05,2.625695185550701478e-03,1.599596312548582644e-01,2.177991264993880960e-01
4.940000000000000391e+00,1.924483265262511011e-01,1.898225672104780215e-01,8.451270466022451895e-05,2.087441889629797990e-03,1.599595291694386745e-01,2.063112495835814908e-01
5.339999999999999858e+00,1.924476012072316999e-01,1.898225672104780215e-01,8.469081581156082019e-05,1.618291793660130672e-03,1.599595030926538597e-01,1.962192996801872535e-01
5.780000000000000249e+00,1.924472090403855640e-01,1.898225672104780493e-01,8.477741802506157890e-05,1.223955677161798735e-03,1.599594974405065817e-01,1.876513633137788795e-01
6.240000000000000213e+00,1.924470200796677966e-01,1.898225672104780770e-01,8.481496473685090328e-05,9.154075072783855564e-04,1.599594964142844744e-01,1.808630868987864959e-01
6.740000000000000213e+00,1.924469309228379610e-01,1.898225672104780770e-01,8.483095171734326588e-05,6.695854978792225437e-04,1.599594962397476727e-01,1.753696640820597286e-01
7.299999999999999822e+00,1.924468914878709191e-01,1.898225672104780770e-01,8.483733005695564438e-05,4.747085160437307600e-04,1.599594962141948906e-01,1.709244712160066793e-01
7.879999999999999893e+00,1.924468766856768653e-01,1.898225672104780770e-01,8.483949046099993033e-05,3.362435994107554728e-04,1.599594962113042307e-01,1.676801595490525765e-01
8.519999999999999574e+00,1.924468711896203110e-01,1.898225672104780215e-01,8.484021665736763199e-05,2.347392180206861706e-04,1.599594962109970042e-01,1.652162154497003321e-01
9.200000000000001066e+00,1.924468694147193626e-01,1.898225672104780493e-01,8.484042896503301732e-05,1.661766770506239283e-04,1.599594962109714413e-01,1.634691485315259429e-01
9.939999999999999503e+00,1.924468688808612105e-01,1.898225672104780215e-01,8.484048686817487975e-05,1.210411182521484115e-04,1.599594962109695817e-01,1.622379784061473151e-01
1.074000000000000021e+01,1.924468687389557231e-01,1.898225672104780770e-01,8.484050082380580147e-05,9.349805361476416332e-05,1.599594962109694707e-01,1.614070851903400550e-01
1.162000000000000099e+01,1.924468687052935945e-01,1.898225672104780770e-01,8.484050382505731115e-05,7.804215240839984763e-05,1.599594962109694707e-01,1.608601345759879120e-01
1.256000000000000050e+01,1.924468686985584542e-01,1.898225672104781325e-01,8.484050436904664390e-05,7.090184819082758242e-05,1.599594962109694707e-01,1.605253397142000493e-01
1.356000000000000050e+01,1.924468686973659914e-01,1.898225672104781880e-01,8.484050445641120773e-05,6.864297390951105905e-05,1.599594962109694707e-01,1.603286010720071375e-01
1.466000000000000014e+01,1.924468686971767817e-01,1.898225672104781325e-01,8.484050446898413111e-05,6.898269810068196879e-05,1.599594962109694984e-01,1.602146224820465981e-01
1.583999999999999986e+01,1.924468686971522458e-01,1.898225672104781325e-01,8.484050447045459386e-05,7.050214351815888827e-05,1.599594962109694707e-01,1.601537156067372181e-01
1.712000000000000099e+01,1.924468686971498033e-01,1.898225672104781880e-01,8.484050447059724776e-05,7.233891620000186334e-05,1.599594962109694429e-01,1.601225427966410098e-01
