sweep,surviving_orientation_labels
0,65536
25,4326
50,3085
75,2435
100,2038
125,1738
150,1551
175,1384
200,1274
225,1165
250,1096
275,1033
300,968
325,914
350,860
375,814
400,769
425,743
450,714
475,688
500,662
525,639
550,624
575,594
600,577
625,551
650,527
675,511
700,497
725,477
750,452
775,433
800,420
825,412
850,402
875,389
900,376
925,365
950,357
975,346
1000,335
1025,325
1050,319
1075,315
1100,308
1125,304
1150,298
1175,297
1200,296
1225,292
1250,287
1275,284
1300,282
1325,279
1350,277
1375,273
1400,270
1425,267
1450,266
1475,262
1500,257
1525,255
1550,253
1575,250
1600,247
1625,245
1650,243
1675,241
1700,236
1725,233
1750,229
1775,227
1800,227
1825,224
1850,223
1875,220
1900,216
1925,214
1950,209
1975,203
2000,203
