steps,msd,theory
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,9.987479999999999691e+00,1.000000000000000000e+01
2.000000000000000000e+01,1.994087999999999994e+01,2.000000000000000000e+01
3.000000000000000000e+01,2.997347999999999857e+01,3.000000000000000000e+01
4.000000000000000000e+01,3.992840000000000344e+01,4.000000000000000000e+01
5.000000000000000000e+01,4.980393999999999721e+01,5.000000000000000000e+01
6.000000000000000000e+01,5.981857999999999720e+01,6.000000000000000000e+01
7.000000000000000000e+01,6.990945999999999572e+01,7.000000000000000000e+01
8.000000000000000000e+01,7.999961999999999307e+01,8.000000000000000000e+01
9.000000000000000000e+01,8.993482000000000198e+01,9.000000000000000000e+01
1.000000000000000000e+02,1.001519600000000025e+02,1.000000000000000000e+02
1.100000000000000000e+02,1.104321400000000040e+02,1.100000000000000000e+02
1.200000000000000000e+02,1.203996999999999957e+02,1.200000000000000000e+02
1.300000000000000000e+02,1.301115000000000066e+02,1.300000000000000000e+02
1.400000000000000000e+02,1.401322000000000116e+02,1.400000000000000000e+02
1.500000000000000000e+02,1.502045400000000086e+02,1.500000000000000000e+02
1.600000000000000000e+02,1.601941600000000108e+02,1.600000000000000000e+02
1.700000000000000000e+02,1.700775999999999897e+02,1.700000000000000000e+02
1.800000000000000000e+02,1.799596200000000010e+02,1.800000000000000000e+02
1.900000000000000000e+02,1.896793800000000090e+02,1.900000000000000000e+02
2.000000000000000000e+02,1.999327000000000112e+02,2.000000000000000000e+02
2.100000000000000000e+02,2.096303599999999960e+02,2.100000000000000000e+02
2.200000000000000000e+02,2.197007000000000119e+02,2.200000000000000000e+02
2.300000000000000000e+02,2.294299800000000005e+02,2.300000000000000000e+02
2.400000000000000000e+02,2.394444000000000017e+02,2.400000000000000000e+02
2.500000000000000000e+02,2.491182599999999923e+02,2.500000000000000000e+02
2.600000000000000000e+02,2.592601799999999912e+02,2.600000000000000000e+02
2.700000000000000000e+02,2.695551800000000071e+02,2.700000000000000000e+02
2.800000000000000000e+02,2.794186799999999948e+02,2.800000000000000000e+02
2.900000000000000000e+02,2.896449999999999818e+02,2.900000000000000000e+02
3.000000000000000000e+02,2.996956400000000258e+02,3.000000000000000000e+02
3.100000000000000000e+02,3.098614600000000223e+02,3.100000000000000000e+02
3.200000000000000000e+02,3.197183400000000120e+02,3.200000000000000000e+02
3.300000000000000000e+02,3.299878600000000120e+02,3.300000000000000000e+02
3.400000000000000000e+02,3.396228800000000092e+02,3.400000000000000000e+02
3.500000000000000000e+02,3.499125000000000227e+02,3.500000000000000000e+02
3.600000000000000000e+02,3.597558599999999842e+02,3.600000000000000000e+02
3.700000000000000000e+02,3.696167599999999993e+02,3.700000000000000000e+02
3.800000000000000000e+02,3.794598799999999983e+02,3.800000000000000000e+02
3.900000000000000000e+02,3.893881600000000276e+02,3.900000000000000000e+02
4.000000000000000000e+02,3.993119199999999864e+02,4.000000000000000000e+02
