step,dimensionless_time,mean_c,energy_density
0,0.0,4.472333961502706e-19,0.25433893185313144
10,2.0,1.7618285302889447e-19,0.2499433819366155
20,4.0,3.5236570605778894e-19,0.2498776228485935
30,6.0,1.8973538018496328e-19,0.2497350425932591
40,8.0,-1.6263032587282567e-19,0.24941290614502082
50,10.0,5.421010862427522e-20,0.24868672575715645
60,12.0,-4.87890977618477e-19,0.24710021950348846
70,14.0,-1.734723475976807e-18,0.2438938590369109
80,16.0,-8.673617379884035e-19,0.2382987983671072
90,18.0,1.0842021724855044e-18,0.23047992866385192
100,20.0,1.0842021724855044e-18,0.22207875929173126
110,22.0,-1.734723475976807e-18,0.21486600346514045
120,24.0,6.071532165918825e-18,0.2092932127646288
130,26.0,7.806255641895632e-18,0.20494859651050912
140,28.0,7.806255641895632e-18,0.20137065747653862
150,30.0,5.204170427930421e-18,0.19823587446106372
160,32.0,6.938893903907228e-18,0.19536934819417412
170,34.0,1.1275702593849246e-17,0.19270768061245225
180,36.0,7.806255641895632e-18,0.19023653650536015
190,38.0,1.5612511283791264e-17,0.18794169554136592
200,40.0,1.6479873021779667e-17,0.185800917564158
210,42.0,2.2551405187698492e-17,0.1837869065361133
220,44.0,2.42861286636753e-17,0.18187017593527557
230,46.0,1.734723475976807e-17,0.18002791502635054
240,48.0,2.2551405187698492e-17,0.17824745591077112
250,50.0,3.2959746043559335e-17,0.1765197935652952
260,52.0,2.7755575615628914e-17,0.17483581640252194
270,54.0,1.9949319973733282e-17,0.17318834562268592
280,56.0,1.8214596497756474e-17,0.17157568146384694
290,58.0,2.949029909160572e-17,0.17000210415041012
300,60.0,2.949029909160572e-17,0.1684724430269497
310,62.0,3.0357660829594124e-17,0.16698604444951065
320,64.0,2.862293735361732e-17,0.1655370105394981
330,66.0,3.209238430557093e-17,0.16411741686268044
340,68.0,2.7755575615628914e-17,0.16272073795163106
350,70.0,2.688821387764051e-17,0.16134415252153333
360,72.0,2.862293735361732e-17,0.15998770286794203
370,74.0,2.949029909160572e-17,0.15865065826751218
380,76.0,3.469446951953614e-17,0.15732791151990205
390,78.0,2.7755575615628914e-17,0.1560101853431843
400,80.0,2.5153490401663703e-17,0.1546974990928671
410,82.0,2.5153490401663703e-17,0.15342965214165624
420,84.0,2.42861286636753e-17,0.15224573613130526
430,86.0,1.9949319973733282e-17,0.1511359293018938
440,88.0,1.5612511283791264e-17,0.15008131433249472
450,90.0,2.42861286636753e-17,0.14907105766153855
460,92.0,1.0408340855860843e-17,0.14809998644002123
470,94.0,1.8214596497756474e-17,0.1471647456246543
480,96.0,1.5612511283791264e-17,0.14626210060006448
490,98.0,1.6479873021779667e-17,0.14538875883790997
500,100.0,4.336808689942018e-18,0.1445417518643647
510,102.0,8.673617379884035e-18,0.14371861359653715
520,104.0,3.469446951953614e-18,0.14291706827123185
530,106.0,8.673617379884035e-19,0.14213476103790335
540,108.0,-1.0408340855860843e-17,0.14136931793343985
550,110.0,-1.0408340855860843e-17,0.14061841363399588
560,112.0,-1.3010426069826053e-17,0.13987963185427602
570,114.0,-1.5612511283791264e-17,0.13915033197645021
580,116.0,-2.3418766925686896e-17,0.1384276733098425
590,118.0,-2.42861286636753e-17,0.13770880108487116
600,120.0,-2.6020852139652106e-17,0.1369914701157349
610,122.0,-3.642919299551295e-17,0.13627527029579395
620,124.0,-3.122502256758253e-17,0.13556226447692815
630,126.0,-3.122502256758253e-17,0.13485371734132873
640,128.0,-2.949029909160572e-17,0.1341444046389377
650,130.0,-4.336808689942018e-17,0.13342521009721703
660,132.0,-5.204170427930421e-17,0.13270952648605508
670,134.0,-5.898059818321144e-17,0.13203382753745832
680,136.0,-7.28583859910259e-17,0.13140378799724126
690,138.0,-6.158268339717665e-17,0.13080290765221753
700,140.0,-6.418476861114186e-17,0.13021141398801417
710,142.0,-5.117434254131581e-17,0.12961629418890128
